id,tenant_id,organization_id,plan_id,plan_version_id,benefit_id,benefit_code,grant_quantity,grant_period,reset_policy,usage_policy,sort_weight,status,created_at,updated_at
plan-super-v1-benefit-video-lip-sync,100001,0,plan-super,plan-super-v1,benefit-video-lip-sync,video_lip_sync,1,membership_period,,included,7,active,2026-07-14 11:35:44.491921+08,2026-07-14 11:35:44.491921+08
plan-super-v1-benefit-video-hd,100001,0,plan-super,plan-super-v1,benefit-video-hd,video_hd,1,membership_period,,included,8,active,2026-07-14 11:35:44.491921+08,2026-07-14 11:35:44.491921+08
plan-super-v1-benefit-video-frame-interp,100001,0,plan-super,plan-super-v1,benefit-video-frame-interp,video_frame_interp,1,membership_period,,included,9,active,2026-07-14 11:35:44.491921+08,2026-07-14 11:35:44.491921+08
plan-super-v1-benefit-image-4k,100001,0,plan-super,plan-super-v1,benefit-image-4k-free,image_4k_free,2K/4K,membership_period,,included,10,active,2026-07-14 11:35:44.491921+08,2026-07-14 11:35:44.491921+08
plan-super-v1-benefit-smart-upscale,100001,0,plan-super,plan-super-v1,benefit-smart-upscale,smart_upscale,4K/8K,membership_period,,included,11,active,2026-07-14 11:35:44.491921+08,2026-07-14 11:35:44.491921+08
plan-super-v1-benefit-no-watermark,100001,0,plan-super,plan-super-v1,benefit-no-watermark,no_watermark,1,membership_period,,included,12,active,2026-07-14 11:35:44.491921+08,2026-07-14 11:35:44.491921+08
plan-super-v1-benefit-gen-acceleration,100001,0,plan-super,plan-super-v1,benefit-generation-acceleration,generation_acceleration,1,membership_period,,included,13,active,2026-07-14 11:35:44.491921+08,2026-07-14 11:35:44.491921+08
plan-super-v1-benefit-vip-support,100001,0,plan-super,plan-super-v1,benefit-vip-support,vip_support,1,membership_period,,included,14,active,2026-07-14 11:35:44.491921+08,2026-07-14 11:35:44.491921+08
plan-super-v1-benefit-speed-up,100001,0,plan-super,plan-super-v1,seed-benefit-priority-speed-up,priority_speed_up,200,membership_period,,included,20,active,2026-07-14 11:35:44.491921+08,2026-07-14 11:35:44.491921+08
plan-super-v1-benefit-priority-queue,100001,0,plan-super,plan-super-v1,benefit-definition-priority_queue,priority_queue,500,membership_period,,included,21,active,2026-07-14 11:35:44.491921+08,2026-07-14 11:35:44.491921+08
plan-super-v1-benefit-ai-quota,100001,0,plan-super,plan-super-v1,seed-benefit-ai-quota,ai_quota,500,membership_period,,included,22,active,2026-07-14 11:35:44.491921+08,2026-07-14 11:35:44.491921+08
plan-standard-v1-benefit-seedance-pro,100001,0,plan-standard,plan-standard-v1,benefit-seedance-pro-model,seedance_pro_model,9.7折算力元,membership_period,,included,5,active,2026-07-13 13:03:39.385073+08,2026-07-14 11:35:44.73428+08
plan-standard-v1-benefit-standard-queue,100001,0,plan-standard,plan-standard-v1,benefit-standard-queue,standard_queue,标准生成通道,membership_period,,included,6,active,2026-07-13 13:03:39.385073+08,2026-07-14 11:35:44.738611+08
plan-premium-v1-benefit-platform-points,100001,0,plan-premium,plan-premium-v1,benefit-platform-free-points,platform_free_points,每日登录赠送算力元,membership_period,,included,1,active,2026-07-13 13:03:39.3923+08,2026-07-14 11:35:44.742261+08
plan-super-v1-benefit-platform-points,100001,0,plan-super,plan-super-v1,benefit-platform-free-points,platform_free_points,每日登录赠送算力元,membership_period,,included,1,active,2026-07-14 11:35:44.491921+08,2026-07-14 11:35:44.753116+08
plan-super-v1-benefit-seedance-pro,100001,0,plan-super,plan-super-v1,benefit-seedance-pro-model,seedance_pro_model,9.7折算力元,membership_period,,included,5,active,2026-07-14 11:35:44.491921+08,2026-07-14 11:35:44.756949+08
plan-super-v1-benefit-vip-queue,100001,0,plan-super,plan-super-v1,benefit-vip-queue,vip_queue,VIP专属通道,membership_period,,included,6,active,2026-07-14 11:35:44.491921+08,2026-07-14 11:35:44.760451+08
plan-premium-v1-benefit-video-lip-sync,100001,0,plan-premium,plan-premium-v1,benefit-video-lip-sync,video_lip_sync,1,membership_period,,included,7,active,2026-07-13 13:03:39.3923+08,2026-07-14 11:35:44.491921+08
plan-premium-v1-benefit-video-hd,100001,0,plan-premium,plan-premium-v1,benefit-video-hd,video_hd,1,membership_period,,included,8,active,2026-07-13 13:03:39.3923+08,2026-07-14 11:35:44.491921+08
plan-premium-v1-benefit-video-frame-interp,100001,0,plan-premium,plan-premium-v1,benefit-video-frame-interp,video_frame_interp,1,membership_period,,included,9,active,2026-07-13 13:03:39.3923+08,2026-07-14 11:35:44.491921+08
plan-premium-v1-benefit-image-4k,100001,0,plan-premium,plan-premium-v1,benefit-image-4k-free,image_4k_free,2K/4K,membership_period,,included,10,active,2026-07-13 13:03:39.3923+08,2026-07-14 11:35:44.491921+08
plan-premium-v1-benefit-smart-upscale,100001,0,plan-premium,plan-premium-v1,benefit-smart-upscale,smart_upscale,4K/8K,membership_period,,included,11,active,2026-07-13 13:03:39.3923+08,2026-07-14 11:35:44.491921+08
plan-premium-v1-benefit-no-watermark,100001,0,plan-premium,plan-premium-v1,benefit-no-watermark,no_watermark,1,membership_period,,included,12,active,2026-07-13 13:03:39.3923+08,2026-07-14 11:35:44.491921+08
plan-premium-v1-benefit-gen-acceleration,100001,0,plan-premium,plan-premium-v1,benefit-generation-acceleration,generation_acceleration,1,membership_period,,included,13,active,2026-07-13 13:03:39.3923+08,2026-07-14 11:35:44.491921+08
plan-premium-v1-benefit-vip-support,100001,0,plan-premium,plan-premium-v1,benefit-vip-support,vip_support,1,membership_period,,included,14,active,2026-07-13 13:03:39.3923+08,2026-07-14 11:35:44.491921+08
plan-free-v1-benefit-purchased-points,100001,0,plan-free,plan-free-v1,benefit-purchased-points,purchased_points,1,membership_period,,included,2,active,2026-07-13 13:03:39.377135+08,2026-07-14 11:35:44.491921+08
plan-basic-v1-benefit-purchased-points,100001,0,plan-basic,plan-basic-v1,benefit-purchased-points,purchased_points,1,membership_period,,included,2,active,2026-07-13 13:03:39.381761+08,2026-07-14 11:35:44.491921+08
plan-basic-v1-benefit-daily-points,100001,0,plan-basic,plan-basic-v1,benefit-daily-points,daily_points,540,membership_period,,included,3,active,2026-07-13 13:03:39.381761+08,2026-07-14 11:35:44.491921+08
plan-basic-v1-benefit-seedance-vip,100001,0,plan-basic,plan-basic-v1,benefit-seedance-vip-model,seedance_vip_model,1,membership_period,,included,4,active,2026-07-13 13:03:39.381761+08,2026-07-14 11:35:44.491921+08
plan-free-v1-benefit-platform-points,100001,0,plan-free,plan-free-v1,benefit-platform-free-points,platform_free_points,每日登录免费算力元,membership_period,,included,1,active,2026-07-13 13:03:39.377135+08,2026-07-14 11:35:44.714968+08
plan-basic-v1-benefit-platform-points,100001,0,plan-basic,plan-basic-v1,benefit-platform-free-points,platform_free_points,每日登录赠送算力元,membership_period,,included,1,active,2026-07-13 13:03:39.381761+08,2026-07-14 11:35:44.719385+08
plan-basic-v1-benefit-seedance-pro,100001,0,plan-basic,plan-basic-v1,benefit-seedance-pro-model,seedance_pro_model,9.7折算力元,membership_period,,included,5,active,2026-07-13 13:03:39.381761+08,2026-07-14 11:35:44.72302+08
plan-basic-v1-benefit-video-lip-sync,100001,0,plan-basic,plan-basic-v1,benefit-video-lip-sync,video_lip_sync,1,membership_period,,included,7,active,2026-07-13 13:03:39.381761+08,2026-07-14 11:35:44.491921+08
plan-basic-v1-benefit-video-hd,100001,0,plan-basic,plan-basic-v1,benefit-video-hd,video_hd,1,membership_period,,included,8,active,2026-07-13 13:03:39.381761+08,2026-07-14 11:35:44.491921+08
plan-basic-v1-benefit-video-frame-interp,100001,0,plan-basic,plan-basic-v1,benefit-video-frame-interp,video_frame_interp,1,membership_period,,included,9,active,2026-07-13 13:03:39.381761+08,2026-07-14 11:35:44.491921+08
plan-basic-v1-benefit-image-4k,100001,0,plan-basic,plan-basic-v1,benefit-image-4k-free,image_4k_free,2K,membership_period,,included,10,active,2026-07-13 13:03:39.381761+08,2026-07-14 11:35:44.491921+08
plan-basic-v1-benefit-smart-upscale,100001,0,plan-basic,plan-basic-v1,benefit-smart-upscale,smart_upscale,4K,membership_period,,included,11,active,2026-07-13 13:03:39.381761+08,2026-07-14 11:35:44.491921+08
plan-basic-v1-benefit-no-watermark,100001,0,plan-basic,plan-basic-v1,benefit-no-watermark,no_watermark,1,membership_period,,included,12,active,2026-07-13 13:03:39.381761+08,2026-07-14 11:35:44.491921+08
plan-basic-v1-benefit-gen-acceleration,100001,0,plan-basic,plan-basic-v1,benefit-generation-acceleration,generation_acceleration,1,membership_period,,included,13,active,2026-07-13 13:03:39.381761+08,2026-07-14 11:35:44.491921+08
plan-basic-v1-benefit-vip-support,100001,0,plan-basic,plan-basic-v1,benefit-vip-support,vip_support,1,membership_period,,included,14,active,2026-07-13 13:03:39.381761+08,2026-07-14 11:35:44.491921+08
plan-basic-v1-benefit-standard-queue,100001,0,plan-basic,plan-basic-v1,benefit-standard-queue,standard_queue,标准生成通道,membership_period,,included,6,active,2026-07-13 13:03:39.381761+08,2026-07-14 11:35:44.726756+08
plan-standard-v1-benefit-platform-points,100001,0,plan-standard,plan-standard-v1,benefit-platform-free-points,platform_free_points,每日登录赠送算力元,membership_period,,included,1,active,2026-07-13 13:03:39.385073+08,2026-07-14 11:35:44.730413+08
plan-standard-v1-benefit-purchased-points,100001,0,plan-standard,plan-standard-v1,benefit-purchased-points,purchased_points,1,membership_period,,included,2,active,2026-07-13 13:03:39.385073+08,2026-07-14 11:35:44.491921+08
plan-standard-v1-benefit-daily-points,100001,0,plan-standard,plan-standard-v1,benefit-daily-points,daily_points,1560,membership_period,,included,3,active,2026-07-13 13:03:39.385073+08,2026-07-14 11:35:44.491921+08
plan-standard-v1-benefit-seedance-vip,100001,0,plan-standard,plan-standard-v1,benefit-seedance-vip-model,seedance_vip_model,1,membership_period,,included,4,active,2026-07-13 13:03:39.385073+08,2026-07-14 11:35:44.491921+08
plan-standard-v1-benefit-video-hd,100001,0,plan-standard,plan-standard-v1,benefit-video-hd,video_hd,1,membership_period,,included,8,active,2026-07-13 13:03:39.385073+08,2026-07-14 11:35:44.491921+08
plan-standard-v1-benefit-gen-acceleration,100001,0,plan-standard,plan-standard-v1,benefit-generation-acceleration,generation_acceleration,1,membership_period,,included,13,active,2026-07-13 13:03:39.385073+08,2026-07-14 11:35:44.491921+08
plan-standard-v1-benefit-vip-support,100001,0,plan-standard,plan-standard-v1,benefit-vip-support,vip_support,1,membership_period,,included,14,active,2026-07-13 13:03:39.385073+08,2026-07-14 11:35:44.491921+08
plan-premium-v1-benefit-seedance-vip,100001,0,plan-premium,plan-premium-v1,benefit-seedance-vip-model,seedance_vip_model,1,membership_period,,included,4,active,2026-07-13 13:03:39.3923+08,2026-07-14 11:35:44.491921+08
plan-basic-v1-benefit-priority-queue,100001,0,plan-basic,plan-basic-v1,benefit-definition-priority_queue,priority_queue,20,membership_period,,included,20,active,2026-07-13 13:03:39.403751+08,2026-07-14 11:35:44.491921+08
plan-standard-v1-benefit-speed-up,100001,0,plan-standard,plan-standard-v1,seed-benefit-priority-speed-up,priority_speed_up,20,membership_period,,included,20,active,2026-07-13 13:03:39.403751+08,2026-07-14 11:35:44.491921+08
plan-standard-v1-benefit-priority-queue,100001,0,plan-standard,plan-standard-v1,benefit-definition-priority_queue,priority_queue,100,membership_period,,included,21,active,2026-07-13 13:03:39.403751+08,2026-07-14 11:35:44.491921+08
plan-standard-v1-benefit-ai-quota,100001,0,plan-standard,plan-standard-v1,seed-benefit-ai-quota,ai_quota,50,membership_period,,included,22,active,2026-07-13 13:03:39.403751+08,2026-07-14 11:35:44.491921+08
plan-premium-v1-benefit-speed-up,100001,0,plan-premium,plan-premium-v1,seed-benefit-priority-speed-up,priority_speed_up,80,membership_period,,included,20,active,2026-07-13 13:03:39.403751+08,2026-07-14 11:35:44.491921+08
plan-premium-v1-benefit-priority-queue,100001,0,plan-premium,plan-premium-v1,benefit-definition-priority_queue,priority_queue,300,membership_period,,included,21,active,2026-07-13 13:03:39.403751+08,2026-07-14 11:35:44.491921+08
plan-premium-v1-benefit-ai-quota,100001,0,plan-premium,plan-premium-v1,seed-benefit-ai-quota,ai_quota,200,membership_period,,included,22,active,2026-07-13 13:03:39.403751+08,2026-07-14 11:35:44.491921+08
plan-premium-v1-benefit-seedance-pro,100001,0,plan-premium,plan-premium-v1,benefit-seedance-pro-model,seedance_pro_model,9.7折算力元,membership_period,,included,5,active,2026-07-13 13:03:39.3923+08,2026-07-14 11:35:44.745761+08
plan-premium-v1-benefit-fast-queue,100001,0,plan-premium,plan-premium-v1,benefit-fast-queue,fast_queue,快速生成通道,membership_period,,included,6,active,2026-07-13 13:03:39.3923+08,2026-07-14 11:35:44.749468+08
